Time [s],Channel 1,Channel 2,Channel 4
6.073624625,1,1,1
6.073624875,0,1,0
6.073625250,0,1,1
6.073625500,1,1,0
6.073626000,1,1,1
6.073626250,0,1,0
6.073626625,0,1,1
6.073626875,0,1,0
6.073628125,0,1,1
6.073628375,0,1,0
6.073628875,0,1,1
6.073629125,0,1,0
6.073629625,0,1,1
6.073629875,0,1,0
6.073630250,0,1,1
6.073630500,1,1,0
6.073631250,1,1,1
6.073631500,0,1,0
6.073631875,0,1,1
6.073632125,1,1,0
6.073632625,1,1,1
6.073632875,1,1,0
6.073633375,1,1,1
6.073633625,0,1,0
6.073634875,0,1,1
6.073635125,0,1,0
6.073635500,0,1,1
6.073635750,0,1,0
6.073636250,0,1,1
6.073636500,0,1,0
6.073636875,0,1,1
6.073637125,1,1,0
6.073637875,1,1,1
6.073638125,1,1,0
6.073638625,1,1,1
6.073638875,0,1,0
6.073639375,0,1,1
6.073639625,0,1,0
6.073640000,0,1,1
6.073640250,0,1,0
6.073641500,0,1,1
6.073641750,0,1,0
6.073642125,0,1,1
6.073642375,0,1,0
6.073642875,0,1,1
6.073643125,0,1,0
6.073643625,0,1,1
6.073643875,1,1,0
6.073644625,1,1,1
6.073644875,1,1,0
6.073645250,1,1,1
6.073645500,0,1,0
6.073646000,0,1,1
6.073646250,1,1,0
6.073646625,1,1,1
6.073646875,0,1,0
6.073648125,0,1,1
6.073648375,0,1,0
6.073648875,0,1,1
6.073649125,0,1,0
6.073649625,0,1,1
6.073649875,0,1,0
6.073650250,0,1,1
6.073650500,1,1,0
6.073651250,1,1,1
6.073651500,1,1,0
6.073651875,1,1,1
6.073652125,1,1,0
6.073652625,1,1,1
6.073652875,0,1,0
6.073653375,0,1,1
6.073653625,0,1,0
6.073654875,0,1,1
6.073655125,0,1,0
6.073655500,0,1,1
6.073655750,0,1,0
6.073656250,0,1,1
6.073656500,0,1,0
6.073656875,0,1,1
6.073657125,1,1,0
6.073657875,1,1,1
6.073658125,1,1,0
6.073658625,1,1,1
6.073658875,1,1,0
6.073659375,1,1,1
6.073659625,1,1,0
6.073660000,1,1,1
6.073660250,0,1,0
6.073661500,0,1,1
6.073661750,0,1,0
6.073662125,0,1,1
6.073662375,0,1,0
6.073662875,0,1,1
6.073663125,1,1,0
6.073663625,1,1,1
6.073663875,0,1,0
6.073664625,0,1,1
6.073664875,0,1,0
6.073665250,0,1,1
6.073665500,0,1,0
6.073666000,0,1,1
6.073666250,0,1,0
6.073666625,0,1,1
6.073666875,0,1,0
6.073668125,0,1,1
6.073668375,0,1,0
6.073668875,0,1,1
6.073669125,0,1,0
6.073669625,0,1,1
6.073669875,1,1,0
6.073670250,1,1,1
6.073670500,0,1,0
6.073671250,0,1,1
6.073671500,0,1,0
6.073671875,0,1,1
6.073672125,0,1,0
6.073672625,0,1,1
6.073672875,1,1,0
6.073673375,1,1,1
6.073673625,0,1,0
6.073674875,0,1,1
6.073675125,0,1,0
6.073675500,0,1,1
6.073675750,0,1,0
6.073676250,0,1,1
6.073676500,1,1,0
6.073676875,1,1,1
6.073677125,0,1,0
6.073677875,0,1,1
6.073678125,0,1,0
6.073678625,0,1,1
6.073678875,1,1,0
6.073679375,1,1,1
6.073679625,0,1,0
6.073680000,0,1,1
6.073680250,0,1,0
6.073681500,0,1,1
6.073681750,0,1,0
6.073682125,0,1,1
6.073682375,0,1,0
6.073682875,0,1,1
6.073683125,1,1,0
6.073683625,1,1,1
6.073683875,0,1,0
6.073684625,0,1,1
6.073684875,0,1,0
6.073685250,0,1,1
6.073685500,1,1,0
6.073686000,1,1,1
6.073686250,1,1,0
6.073686625,1,1,1
6.073686875,0,1,0
6.073688125,0,1,1
6.073688375,0,1,0
6.073688875,0,1,1
6.073689125,0,1,0
6.073689625,0,1,1
6.073689875,1,1,0
6.073690250,1,1,1
6.073690500,0,1,0
6.073691250,0,1,1
6.073691500,1,1,0
6.073691875,1,1,1
6.073692125,0,1,0
6.073692625,0,1,1
6.073692875,0,1,0
6.073693375,0,1,1
6.073693625,0,1,0
6.073694875,0,1,1
6.073695125,0,1,0
6.073695500,0,1,1
6.073695750,0,1,0
6.073696250,0,1,1
6.073696500,1,1,0
6.073696875,1,1,1
6.073697125,0,1,0
6.073697875,0,1,1
6.073698125,1,1,0
6.073698625,1,1,1
6.073698875,0,1,0
6.073699375,0,1,1
6.073699625,1,1,0
6.073700000,1,1,1
6.073700250,0,1,0
6.073701500,0,1,1
6.073701750,0,1,0
6.073702125,0,1,1
6.073702375,0,1,0
6.073702875,0,1,1
6.073703125,1,1,0
6.073703625,1,1,1
6.073703875,0,1,0
6.073704625,0,1,1
6.073704875,1,1,0
6.073705250,1,1,1
6.073705500,1,1,0
